feature,importance_mean,importance_std
demand_lag_168,42.35312228958062,1.0787265191057012
hour_cos,33.05202018843147,0.45500636188759325
demand_lag_24,13.447913250788625,0.24430446693126334
hour_sin,13.324281607966782,0.37959054985515805
temperature_c,11.241125464239571,0.403704300898235
demand_rolling_24,9.653439127748692,0.335099591124266
is_weekend,7.427028205832107,0.23669997966689751
dow_sin,7.286902196633719,0.16296563322846913
humidity_pct,7.241359282270645,0.6160432577189713
weather_severity,4.04964609376309,0.43858172770665926
year_cos,2.9446616635354546,0.15551700896446782
is_holiday,1.79688473670775,0.4178904745124437
wind_kmh,0.9702112285615059,0.034386270626498884
dow_cos,0.7731327318473774,0.11216794496835823
year_sin,0.4403048300410603,0.08058126693501769
trend_hours,0.0,0.0
