feature,importance_mean,importance_std
hour_cos,43.49585420584397,0.894317337883356
hour_sin,15.439776249981866,0.5177100424705811
demand_lag_24,13.326375259808293,0.5316323264159832
temperature_c,8.03559209488034,0.2898186240673175
demand_rolling_24,7.866075258687405,0.3137312422642583
is_weekend,6.456352325959804,0.53256290242015
demand_lag_168,5.61707937506485,0.2635743054644819
humidity_pct,4.273267514207248,0.3717585263732802
dow_sin,3.850315896957352,0.3223959808536235
weather_severity,2.976957365302707,0.19694484110100713
year_cos,1.9478826695066345,0.11861406640339973
is_holiday,0.9421195672677755,0.13345554940742949
dow_cos,0.5858620391616938,0.18859607159992287
wind_kmh,0.40645281951497625,0.06087527961539727
year_sin,0.14149599494077733,0.021886518281230116
trend_hours,0.0,0.0
